,Open,High,Low,Close,Adj Close,Volume,Date,Company
241,230.960007,240.320007,230.839996,234.470001,234.470001,1941600.0,2022-06-17,ALGN
242,241.139999,241.990005,229.970001,230.309998,230.309998,1412000.0,2022-06-21,ALGN
243,226.479996,240.800003,225.860001,235.089996,235.089996,1600100.0,2022-06-22,ALGN
244,237.979996,252.570007,236.619995,251.119995,251.119995,1164100.0,2022-06-23,ALGN
245,253.080002,258.929993,252.509995,258.75,258.75,2794000.0,2022-06-24,ALGN
246,258.76001,259.790009,249.100006,250.169998,250.169998,1045000.0,2022-06-27,ALGN
247,251.509995,254.759995,241.429993,241.919998,241.919998,702500.0,2022-06-28,ALGN
248,243.869995,244.190002,236.809998,242.149994,242.149994,841400.0,2022-06-29,ALGN
249,240.669998,243.649994,232.619995,236.669998,236.669998,835800.0,2022-06-30,ALGN
250,237.029999,247.669998,235.279999,247.339996,247.339996,681800.0,2022-07-01,ALGN
251,243.5,255.270004,239.179993,254.110001,254.110001,765100.0,2022-07-05,ALGN
